City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Cape Town,ZA,2021-07-21 17:56:28,-33.9258,18.4232,49.1,72,20,1.99
94,Provideniya,RU,2021-07-21 17:58:10,64.3833,-173.3,41.54,82,100,5.79
95,Bambanglipuro,ID,2021-07-21 17:58:10,-7.95,110.2833,74.86,89,19,4.65
96,Bud,US,2021-07-21 17:58:10,39.447,-86.1758,81.7,68,31,6.73
97,San Patricio,US,2021-07-21 17:58:11,28.017,-97.5169,92.12,50,17,5.66
98,Sosnovo-Ozerskoye,RU,2021-07-21 17:58:11,52.5249,111.5418,55.27,98,100,8.39
99,Kailua,US,2021-07-21 17:58:11,21.4022,-157.7394,78.03,79,90,10.36
100,Oistins,BB,2021-07-21 17:55:40,13.0667,-59.5333,86.09,70,75,21.85
101,Mozelos,PT,2021-07-21 17:58:12,41.8677,-8.3978,88.29,50,3,5.41
102,Goderich,CA,2021-07-21 17:58:12,43.7501,-81.7165,71.2,68,0,17.27
103,Qeshm,IR,2021-07-21 17:58:13,26.9581,56.2719,93.09,68,1,13.53
104,Roma,US,2021-07-21 17:58:13,43.2128,-75.4557,73.54,71,90,1.01
105,Qaanaaq,GL,2021-07-21 17:58:13,77.484,-69.3632,37.18,98,100,14.88
106,Makamba,BI,2021-07-21 17:58:14,-4.1348,29.804,65.71,53,0,0.74
107,Saint George,US,2021-07-21 17:58:14,37.1041,-113.5841,99.07,30,51,3.0
108,Vila Franca Do Campo,PT,2021-07-21 17:58:14,37.7167,-25.4333,72.01,64,20,10.83
109,Mataura,NZ,2021-07-21 17:56:28,-46.1927,168.8643,43.48,95,100,4.97
110,Ahipara,NZ,2021-07-21 17:58:15,-35.1667,173.1667,57.11,90,84,12.88
111,Rehoboth,NA,2021-07-21 17:58:15,-23.3167,17.0833,49.53,46,0,7.52
112,Iquitos,PE,2021-07-21 17:55:00,-3.7481,-73.2472,82.44,69,75,6.91
113,Ilulissat,GL,2021-07-21 17:58:15,69.2167,-51.1,42.08,75,71,4.21
114,Mar Del Plata,AR,2021-07-21 17:58:16,-38.0023,-57.5575,59.02,52,0,8.99
115,Jacqueville,CI,2021-07-21 17:58:16,5.2052,-4.4146,80.51,77,17,9.98
116,Hithadhoo,MV,2021-07-21 17:57:05,-0.6,73.0833,82.47,74,100,15.1
117,East London,ZA,2021-07-21 17:58:17,-33.0153,27.9116,59.94,20,0,10.36
118,Los Llanos De Aridane,ES,2021-07-21 17:58:18,28.6585,-17.9182,71.35,81,20,19.57
119,Yen Bai,VN,2021-07-21 17:58:18,21.7,104.8667,78.84,91,99,1.77
120,Moorhead,US,2021-07-21 17:58:18,46.8739,-96.7676,78.82,61,1,13.8
121,Houma,US,2021-07-21 17:58:19,29.5958,-90.7195,89.01,73,40,10.36
122,Georgiyevka,KZ,2021-07-21 17:58:19,43.0369,74.7114,73.44,53,75,11.18
123,Severo-Kurilsk,RU,2021-07-21 17:58:19,50.6789,156.125,50.79,94,25,3.78
124,Verdun,FR,2021-07-21 17:58:20,49.25,5.3333,76.59,78,3,4.54
125,Vao,NC,2021-07-21 17:57:35,-22.6667,167.4833,69.69,73,100,13.2
126,Peterhead,GB,2021-07-21 17:58:20,57.5058,-1.7981,68.4,86,60,6.17
127,Bethel,US,2021-07-21 17:58:09,41.3712,-73.414,80.37,73,38,7.52
128,Codrington,AU,2021-07-21 17:58:21,-38.2667,141.9667,41.65,94,100,9.48
129,Ponta Do Sol,PT,2021-07-21 17:57:52,32.6667,-17.1,75.83,75,0,0.92
130,Karasjok,NO,2021-07-21 17:58:21,69.4719,25.5112,50.11,73,96,12.03
131,Adelaide,AU,2021-07-21 17:58:00,-34.9333,138.6,50.22,58,75,3.0
132,Iqaluit,CA,2021-07-21 17:58:22,63.7506,-68.5145,42.53,86,90,8.01
133,Saint-Joseph,RE,2021-07-21 17:58:22,-21.3667,55.6167,68.38,81,50,18.23
134,Ouesso,CG,2021-07-21 17:58:23,1.6136,16.0517,82.36,56,93,2.26
135,Bafoulabe,ML,2021-07-21 17:58:23,13.8065,-10.8321,88.47,62,95,8.48
136,Kristinehamn,SE,2021-07-21 17:58:23,59.3098,14.1081,74.03,52,3,6.55
137,Rodrigues Alves,BR,2021-07-21 17:58:24,-7.738,-72.6509,84.4,33,0,3.29
138,Nikolayevskaya,RU,2021-07-21 17:58:24,47.6139,41.5023,90.41,43,71,10.78
139,New Norfolk,AU,2021-07-21 17:58:24,-42.7826,147.0587,47.57,79,95,1.01
140,Krasnoselkup,RU,2021-07-21 17:58:25,65.7,82.4667,60.62,63,100,12.08
141,Awjilah,LY,2021-07-21 17:58:25,29.1081,21.2869,91.13,31,0,13.33
142,Yaqui,MX,2021-07-21 17:58:25,27.3667,-110.1667,94.71,38,72,3.53
143,Srednekolymsk,RU,2021-07-21 17:58:26,67.45,153.6833,54.95,85,41,4.03
144,Escarcega,MX,2021-07-21 17:58:26,18.6089,-90.7454,97.36,35,19,6.76
145,Cherskiy,RU,2021-07-21 17:58:26,68.75,161.3,52.92,54,25,3.56
146,Avarua,CK,2021-07-21 17:58:27,-21.2078,-159.775,73.45,94,20,4.61
147,Tautira,PF,2021-07-21 17:58:27,-17.7333,-149.15,77.02,79,41,16.98
148,Sabang,ID,2021-07-21 17:58:27,5.8933,95.3214,83.07,75,97,22.93
149,Deputatskiy,RU,2021-07-21 17:58:28,69.3,139.9,47.43,80,100,3.22
150,Anloga,GH,2021-07-21 17:58:28,5.7947,0.8973,80.82,78,51,14.81
151,Berlevag,NO,2021-07-21 17:58:28,70.8578,29.0864,44.55,81,75,21.85
152,Palmer,US,2021-07-21 17:58:29,42.1584,-72.3287,82.26,64,67,7.85
153,Coihaique,CL,2021-07-21 17:58:29,-45.5752,-72.0662,52.41,81,75,3.44
154,Spokane,US,2021-07-21 17:58:29,47.6166,-117.3677,73.6,24,16,9.64
155,Luganville,VU,2021-07-21 17:58:30,-15.5333,167.1667,75.88,85,15,2.93
156,Hasaki,JP,2021-07-21 17:56:27,35.7333,140.8333,73.8,87,8,3.58
157,Kondinskoye,RU,2021-07-21 17:58:30,59.6481,67.41,64.58,97,99,10.04
158,Emba,KZ,2021-07-21 17:58:31,48.8264,58.1442,88.74,30,59,7.34
159,Luba,GQ,2021-07-21 17:58:31,3.4568,8.5547,80.49,87,98,8.99
160,Boralday,KZ,2021-07-21 17:58:31,43.3578,76.8594,75.87,40,100,3.2
161,Olenino,RU,2021-07-21 17:58:32,56.2092,33.4889,59.68,61,19,10.78
162,Riyadh,SA,2021-07-21 17:54:14,24.6877,46.7219,104.14,24,57,13.85
163,Tolaga Bay,NZ,2021-07-21 17:58:32,-38.3667,178.3,56.05,96,100,9.06
164,Poronaysk,RU,2021-07-21 17:58:33,49.2167,143.1167,56.39,97,95,7.14
165,Annaka,JP,2021-07-21 17:58:33,36.3167,138.9,74.7,78,3,3.33
166,Olafsvik,IS,2021-07-21 17:58:33,64.8945,-23.7142,53.37,89,16,13.18
167,Manaure,CO,2021-07-21 17:58:34,11.7751,-72.4445,92.16,42,4,29.1
168,Leningradskiy,RU,2021-07-21 17:58:34,69.3833,178.4167,36.91,80,100,5.12
169,Tuktoyaktuk,CA,2021-07-21 17:58:10,69.4541,-133.0374,75.2,57,20,9.22
170,Honiara,SB,2021-07-21 17:58:35,-9.4333,159.95,75.92,89,29,5.19
171,Maltahohe,NA,2021-07-21 17:58:35,-24.8333,16.9833,48.2,35,0,10.29
172,Pisco,PE,2021-07-21 17:54:58,-13.7,-76.2167,66.02,77,90,5.75
173,Nizwa,OM,2021-07-21 17:58:35,22.9333,57.5333,92.7,47,81,2.46
174,Suntar,RU,2021-07-21 17:58:36,62.1444,117.6319,61.25,76,75,4.05
175,Mehamn,NO,2021-07-21 17:58:36,71.0357,27.8492,44.51,93,100,28.59
176,Saquena,PE,2021-07-21 17:58:36,-4.6667,-73.5167,87.58,42,8,4.45
177,Kananga,CD,2021-07-21 17:58:37,-5.8958,22.4178,79.75,27,80,3.85
178,Hami,CN,2021-07-21 17:58:37,42.8,93.45,87.37,22,91,7.96
179,Nyimba,ZM,2021-07-21 17:58:37,-14.5566,30.8149,70.21,44,3,8.86
180,Popondetta,PG,2021-07-21 17:58:38,-8.7537,148.2534,71.62,96,66,3.29
181,Pombas,CV,2021-07-21 17:58:38,17.1503,-25.0201,78.58,81,39,4.47
182,Mao,ES,2021-07-21 17:58:38,39.8885,4.2658,84.76,58,0,5.75
183,Fort Nelson,CA,2021-07-21 17:58:39,58.8053,-122.7002,54.99,100,90,2.3
184,Ostrovnoy,RU,2021-07-21 17:58:39,68.0531,39.5131,48.06,75,99,15.35
185,Nanortalik,GL,2021-07-21 17:58:39,60.1432,-45.2371,45.72,97,100,6.89
186,Arlit,NE,2021-07-21 17:58:40,18.7369,7.3853,99.68,23,95,14.23
187,Bengkulu,ID,2021-07-21 17:58:40,-3.8004,102.2655,75.56,89,70,3.58
188,Pochutla,MX,2021-07-21 17:58:40,15.7432,-96.4661,93.81,49,19,5.03
189,Chuy,UY,2021-07-21 17:58:41,-33.6971,-53.4616,58.37,57,2,5.1
190,Volterra,IT,2021-07-21 17:58:41,43.4003,10.86,82.51,39,20,7.52
191,Nsanje,MW,2021-07-21 17:58:41,-16.92,35.262,73.2,56,16,4.41
192,Narsaq,GL,2021-07-21 17:58:42,60.9167,-46.05,45.32,98,100,2.3
