City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Maragogi,BR,74.89,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
186,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
188,Lima,PE,62.85,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
189,Camacha,PT,70.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
190,Umea,SE,64.33,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
192,Balabac,PH,82.33,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
193,Kieta,PG,78.24,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
194,Muzaffarabad,PK,79.3,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
196,Namibe,AO,65.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
197,Buchen,DE,69.35,overcast clouds,49.5239,9.3231,Hotel Restaurant Reichsadler
198,Yerbogachen,RU,60.73,overcast clouds,61.2767,108.0108,
199,Zanjan,IR,66.72,few clouds,36.6736,48.4787,Qasr Hotel
200,Nueva Guinea,NI,79.45,light rain,11.6876,-84.4562,Posadita La Reyna
201,Youkounkoun,GN,76.03,light rain,12.5333,-13.1333,
202,Saint-Michel-Des-Saints,CA,79.93,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
203,Sao Filipe,CV,74.73,broken clouds,14.8961,-24.4956,Hotel Xaguate
207,Lorengau,PG,80.6,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Port Hardy,CA,62.78,fog,50.6996,-127.4199,Airport Inn
211,Tecoanapa,MX,87.4,few clouds,16.5167,-98.75,Hotel Manglares
212,Huadian,CN,68.25,overcast clouds,42.9633,126.7478,Huadian Forestry Bureau
213,Daru,PG,77.18,overcast clouds,-9.0763,143.2092,Daru Lodge
215,Kashi,CN,84.22,broken clouds,39.4547,75.9797,帕米尔青年旅舍
216,Mtambile,TZ,75.97,light rain,-5.3833,39.7,
217,Vostok,RU,69.53,broken clouds,46.4856,135.8833,
220,Benghazi,LY,79.66,clear sky,32.1167,20.0667,Tibesti Hotel
221,Taseyevo,RU,61.29,clear sky,57.2169,94.8978,Gloriaca Homestay
